Order,Best_source,Det_to_species,Doug_to_check,Human_alternative,Human_comment,Alien,Original,Official,Synonym,TNRS_Name_submitted,TNRS_Name_matched,TNRS_Author_matched,TNRS_Overall_score,TNRS_Taxonomic_status,TNRS_Accepted_name,TNRS_Accepted_author,TNRS_Accepted_family,TNRS_Source,TNRS_Warnings,TNRS_Accepted_name_lsid
1632,Original,0,,,,,Restio flaky bract 200/381,0,0,Restio flaky bract 200/381,Restio,,0.3,Accepted,Restio,,Restionaceae,tpl, [Partial match] ,
1835,Human_alternative,0,,Struthiola sp1,,,Struthiola tiny yellow 2007/168,0,0,Struthiola tiny yellow 2007/168,Struthiola,,0.3,Accepted,Struthiola,,Thymelaeaceae,tpl, [Partial match] ,
1890,Human_alternative,1,1,Tetraria microstachys,?,,Tetraria light brown 2007/383,0,0,Tetraria light brown 2007/383,Tetraria,,0.3,Accepted,Tetraria,,Cyperaceae,tpl, [Partial match] ,
1320,Original,0,,,,,Osteospermum cf chrysanthemoides incane 2007/43,0,0,Osteospermum cf chrysanthemoides incane 2007/43,Osteospermum,,0.3,No opinion,,,,tpl, [Partial match] ,
1271,Original,0,,,,,Mustard seed 2007/119,0,0,Mustard seed 2007/119,Muscari,,0.34,Accepted,Muscari,,Asparagaceae,tpl;usda, [Partial match] ,
1959,Original,0,,,,,Tiny irid sp 2007/192,0,0,Tiny irid sp 2007/192,Tina,,0.36,Accepted,Tina,,Sapindaceae,tpl, [Partial match] ,
129,Human_alternative,0,,Aspalathus sp1,,,Aspalathus ground 2007/386,0,0,Aspalathus ground 2007/386,Aspalathus,,0.4,Accepted,Aspalathus,,Fabaceae,tpl;usda, [Partial match] ,
142,Human_alternative,0,,Aspalathus sp2,,,Aspalathus sp ground,0,0,Aspalathus sp ground,Aspalathus,,0.4,Accepted,Aspalathus,,Fabaceae,tpl;usda, [Partial match] ,
159,Original,0,,,,,Asparagus white bark,0,0,Asparagus white bark,Asparagus,,0.4,Accepted,Asparagus,,Asparagaceae,tpl, [Partial match] ,
176,Human_alternative,0,,Avena sp1,longa? = Helictotrichon longum,1,Avena longhorn 2007/162,0,0,Avena longhorn 2007/162,Avena,,0.4,Accepted,Avena,,Poaceae,tpl;usda, [Partial match] ,
