spcID	Status	Origin
Solanum_elaeagnifolium	Alien	iSPOT
Solanum_giganteum	Alien	iSPOT
Solanum_lycopersicum	Alien	iSPOT
Solanum_marginatum	Alien	iSPOT
Solanum_retroflexum	Alien	iSPOT
Spergula_arvensis	Alien	iSPOT
Spergularia_media	Alien	iSPOT
Spergularia_rubra	Alien	iSPOT
Sphaeropteris_cooperi	Alien	iSPOT
Stachys_arvensis	Alien	iSPOT
Stenocarpus_sinuatus	Alien	iSPOT
Stipa_papposa	Alien	iSPOT
Syzygium_jambos	Alien	iSPOT
Tamarix_ramosissima	Alien	iSPOT
Telopea_speciosissima	Alien	iSPOT
Thamnochortus_insignis	Alien	iSPOT
Tithonia_diversifolia	Alien	iSPOT
Tragopogon_porrifolius	Alien	iSPOT
Trifolium_arvense	Alien	iSPOT
Trifolium_cernuum	Alien	iSPOT
Trifolium_dubium	Alien	iSPOT
Trifolium_glomeratum	Alien	iSPOT
Trifolium_ornithopodioides	Alien	iSPOT
Trifolium_resupinatum	Alien	iSPOT
Trifolium_suffocatum	Alien	iSPOT
Trifolium_tomentosum	Alien	iSPOT
Triticum_durum	Alien	iSPOT
Tropaeolum_majus	Alien	iSPOT
Urospermum_picroides	Alien	iSPOT
Urtica_dubia	Alien	iSPOT
Urtica_urens	Alien	iSPOT
Verbena_officinalis	Alien	iSPOT
Verbena_rigida	Alien	iSPOT
Veronica_anagallis-aquatica	Alien	iSPOT
Veronica_arvensis	Alien	iSPOT
Veronica_persica	Alien	iSPOT
Vicia_sativa	Alien	iSPOT
Vicia_tetrasperma	Alien	iSPOT
Vicia_villosa	Alien	iSPOT
Viola_arvensis	Alien	iSPOT
Viola_tricolor	Alien	iSPOT
Virgilia_oroboides	Alien	iSPOT
Vitis_vinifera	Alien	iSPOT
Vulpia_bromoides	Alien	iSPOT
Vulpia_fasciculata	Alien	iSPOT
Vulpia_myuros	Alien	iSPOT
Wigandia_urens	Alien	iSPOT
Xysmalobium_undulatum	Alien	iSPOT
