spcID	Status	Origin
Fraxinus_sp.	Alien	SAPIA
Populus_nigra_L._var._italica_Muenchh.	Alien	SAPIA
Cupressus_arizonica_Greene	Alien	SAPIA
Eucalyptus_cinerea_F._Muell._ex_Benth.	Alien	SAPIA
Medicago_sativa_L.	Alien	SAPIA
Sambucus_canadensis_L.	Alien	SAPIA
Ipomoea_carnea_Jacq._ssp._fistulosa_(Mart._ex_Choisy)_D._Austin	Alien	SAPIA
Solanum_sp.	Alien	SAPIA
Lagerstroemia_indica_L.	Alien	SAPIA
Callistemon_sp.	Alien	SAPIA
Saccharum_officinarum_L.	Alien	SAPIA
Lemna_gibba_L.	Alien	SAPIA
Cosmos_bipinnatus_Cav.	Alien	SAPIA
Richardia_brasiliensis_Gomes	Alien	SAPIA
Solanum_nigrum_L._sensu_lato	Alien	SAPIA
Bambuseae_sp.	Alien	SAPIA
Cestrum_parqui_L'Herit.	Alien	SAPIA
Acer_negundo_L.	Alien	SAPIA
Acer_sp._?	Alien	SAPIA
Calotropis_procera_(Aiton)_W.T.Aiton	Alien	SAPIA
Cestrum_elegans_(Brongn.)_Schlechtd.	Alien	SAPIA
Amaranthus_sp.	Alien	SAPIA
Nicandra_physalodes_(L.)_Gaertn.	Alien	SAPIA
Solanum_capsicoides_All.	Alien	SAPIA
Plectranthus_barbatus_Andrews	Alien	SAPIA
Alpinia_sp.	Alien	SAPIA
Eriobotrya_japonica_(Thunb._)_Lindl.	Alien	SAPIA
Fuchsia_sp.	Alien	SAPIA
Vinca_major_L.	Alien	SAPIA
Callistemon_viminalis_(Sol._ex_Gaertn.)_G._Don	Alien	SAPIA
Phytolacca_icosandra_L.	Alien	SAPIA
Prunus_serotina_Ehrh.	Alien	SAPIA
Styphnolobium_japonicum_(L.)_Schott	Alien	SAPIA
Pennisetum_sp.	Alien	SAPIA
Rumex_usambarensis_(Dammer)_Dammer	Alien	SAPIA
Stenocarpus_sinuatus_(A._Cunn.)_Endl.	Alien	SAPIA
Acrocarpus_fraxinifolius_Arn.	Alien	SAPIA
Solanum_aculeastrum_Dun.	Alien	SAPIA
Euphorbia_heterophylla_L.	Alien	SAPIA
Gnaphalium_luteoalbum_L.	Alien	SAPIA
Conyza_sp.	Alien	SAPIA
Tridax_procumbens_L.	Alien	SAPIA
Pittosporum_undulatum_Vent.	Alien	SAPIA
Helianthus_annuus_L._crop_single-headed	Alien	SAPIA
Manihot_grahamii_Hook.	Alien	SAPIA
Tropaeolum_majus_L.	Alien	SAPIA
Wigandia_urens_(Ruiz_&_Pav.)_Kunth_var._caracasana_(Kunth)_D.N.Gibson	Alien	SAPIA
Brugmansia_x_candida_Pers.	Alien	SAPIA
Vitis_sp.	Alien	SAPIA
Yucca_aloifolia_L.	Alien	SAPIA
Ardisia_crenata_Sims	Alien	SAPIA
Quercus_palustris_Muenchh.	Alien	SAPIA
Crataegus_sp.	Alien	SAPIA
Cedrus_deodara_(Roxb.)_G._Don	Alien	SAPIA
Cupressus_lusitanica_Mill.	Alien	SAPIA
Eucalyptus_cloeziana_F._Muell.	Alien	SAPIA
Eucalyptus_fastigata_Deane_&_Maiden	Alien	SAPIA
Eucalyptus_paniculata_Sm.	Alien	SAPIA
Alnus_glutinosa_(L.)_Gaertner	Alien	SAPIA
Castanospermum_australe_A._Cunn.	Alien	SAPIA
Cuphea_ignea_A._DC	Alien	SAPIA
Conyza_sumatrensis_(Retz.)_E.Walker	Alien	SAPIA
Bambusa_sp._with_yellow_stems_and_green_leaves;_tall	Alien	SAPIA
Syncarpia_glomulifera_(Sm.)_Niedenzu	Alien	SAPIA
Ficus_elastica_Roxb._ex_Hornem.	Alien	SAPIA
Bauhinia_sp.	Alien	SAPIA
Cenchrus_brownii_Roem._&_Schult.	Alien	SAPIA
Phormium_tenax_Forster_&_Forster_f.	Alien	SAPIA
Bromus_catharticus_Vahl	Alien	SAPIA
Oenothera_sp.	Alien	SAPIA
Veronica_anagallis-aquatica_L.	Alien	SAPIA
Symphyotrichum_subulatum_(Michx.)_G.L.Nesom_subsp._squamatum	Alien	SAPIA
Hibiscus_trionum_L.	Alien	SAPIA
Hypochaeris_radicata_L.	Alien	SAPIA
Oenothera_rosea_L'Herit._ex_Ait.	Alien	SAPIA
Oxalis_corniculata_L.	Alien	SAPIA
